country_name,city_name,restaurant_name,feature_id,gps_coordinates,reviewer,reviewer_id,num_reviews,description,review_rating,review_date,image_name,,,,,
Saudi Arabia,Riyadh,MYAZU Riyadh,0x3e2f030b790b8bf1:0x74edaa5821a6451,"24.6999984,46.7048876",Froilan Antonio Bacungan,1.18049439141056E+020,35,"Come to feast!
Set meal provided a tasting menu for a good variety of their offerings and as served for 2, you’ll leave full for sure.
Special mention to the date cake. Best that me and my wife have ever had in the Kingdom and my wife doesn’t really enjoy dates but it was moist and the right sweetness, and topped with the ice cream, it was the best way to close the meal.
Staff were all so helpful and ambience would compete with 5star hotel restaurants easily. Thanks lastly to our kabayans that always find ways to make these experiences more enjoyable.",5,4 months ago,MYAZU Riyadh_Froilan Antonio Bacungan_1,,,,,
Saudi Arabia,Riyadh,MYAZU Riyadh,0x3e2f030b790b8bf1:0x74edaa5821a6451,"24.6999984,46.7048876",Froilan Antonio Bacungan,1.18049439141056E+020,35,"Come to feast!
Set meal provided a tasting menu for a good variety of their offerings and as served for 2, you’ll leave full for sure.
Special mention to the date cake. Best that me and my wife have ever had in the Kingdom and my wife doesn’t really enjoy dates but it was moist and the right sweetness, and topped with the ice cream, it was the best way to close the meal.
Staff were all so helpful and ambience would compete with 5star hotel restaurants easily. Thanks lastly to our kabayans that always find ways to make these experiences more enjoyable.",5,4 months ago,MYAZU Riyadh_Froilan Antonio Bacungan_2,,,,,
Saudi Arabia,Riyadh,MYAZU Riyadh,0x3e2f030b790b8bf1:0x74edaa5821a6451,"24.6999984,46.7048876",Froilan Antonio Bacungan,1.18049439141056E+020,35,"Come to feast!
Set meal provided a tasting menu for a good variety of their offerings and as served for 2, you’ll leave full for sure.
Special mention to the date cake. Best that me and my wife have ever had in the Kingdom and my wife doesn’t really enjoy dates but it was moist and the right sweetness, and topped with the ice cream, it was the best way to close the meal.
Staff were all so helpful and ambience would compete with 5star hotel restaurants easily. Thanks lastly to our kabayans that always find ways to make these experiences more enjoyable.",5,4 months ago,MYAZU Riyadh_Froilan Antonio Bacungan_3,,,,,
Saudi Arabia,Riyadh,MYAZU Riyadh,0x3e2f030b790b8bf1:0x74edaa5821a6451,"24.6999984,46.7048876",travel photos j,1.11117233653616E+020,52,"It's a great restaurant for special occasions, with friendly and polite customer service.
They offer a variety of non-alcoholic beverages and delicious Japanese dishes made with fresh ingredients.
The decor is charming, featuring different areas for both group or alone.",5,5 months ago,MYAZU Riyadh_travel photos j_1,,,,,
Saudi Arabia,Riyadh,MYAZU Riyadh,0x3e2f030b790b8bf1:0x74edaa5821a6451,"24.6999984,46.7048876",travel photos j,1.11117233653616E+020,52,"It's a great restaurant for special occasions, with friendly and polite customer service.
They offer a variety of non-alcoholic beverages and delicious Japanese dishes made with fresh ingredients.
The decor is charming, featuring different areas for both group or alone.",5,5 months ago,MYAZU Riyadh_travel photos j_2,,,,,
Saudi Arabia,Riyadh,MYAZU Riyadh,0x3e2f030b790b8bf1:0x74edaa5821a6451,"24.6999984,46.7048876",travel photos j,1.11117233653616E+020,52,"It's a great restaurant for special occasions, with friendly and polite customer service.
They offer a variety of non-alcoholic beverages and delicious Japanese dishes made with fresh ingredients.
The decor is charming, featuring different areas for both group or alone.",5,5 months ago,MYAZU Riyadh_travel photos j_3,,,,,
Saudi Arabia,Riyadh,MYAZU Riyadh,0x3e2f030b790b8bf1:0x74edaa5821a6451,"24.6999984,46.7048876",jamil Nasser,1.0618307613026E+020,259,One of the best restaurants! It taste absolutely divine! The service is spot on! Very great place to get your friends to!,5,2 months ago,MYAZU Riyadh_jamil Nasser_1,,,,,
Saudi Arabia,Riyadh,MYAZU Riyadh,0x3e2f030b790b8bf1:0x74edaa5821a6451,"24.6999984,46.7048876",jamil Nasser,1.0618307613026E+020,259,One of the best restaurants! It taste absolutely divine! The service is spot on! Very great place to get your friends to!,5,2 months ago,MYAZU Riyadh_jamil Nasser_2,,,,,
Saudi Arabia,Riyadh,MYAZU Riyadh,0x3e2f030b790b8bf1:0x74edaa5821a6451,"24.6999984,46.7048876",jamil Nasser,1.0618307613026E+020,259,One of the best restaurants! It taste absolutely divine! The service is spot on! Very great place to get your friends to!,5,2 months ago,MYAZU Riyadh_jamil Nasser_3,,,,,
Saudi Arabia,Riyadh,MYAZU Riyadh,0x3e2f030b790b8bf1:0x74edaa5821a6451,"24.6999984,46.7048876",Rachelle Ubante,1.12911294465562E+020,15,"We tried their Iftar set menu during Ramadan, and it was fantastic! The bao and crème brûlée were absolute standouts, leaving us completely satisfied and impressed. A truly amazing dining experience!",4,2 months ago,MYAZU Riyadh_Rachelle Ubante_1,,,,,
